环境维度,环境分类,风格因子,周数,风格年化收益,沪深300年化收益,年化超额收益,累计相对超额收益,信息比率,胜率,风格最大回撤,相对最大回撤
历史阶段,盈利下行熊市,价值,107,-0.17206009980714887,-0.21303820988340205,0.048412770768945915,0.11010017039591169,0.8518171671541164,0.5420560747663551,-0.32278916855369444,-0.04810479066379203
历史阶段,盈利下行熊市,成长,107,-0.18778134269189883,-0.21303820988340205,0.03195791882952488,0.06716145158293951,0.9502779154555783,0.5327102803738317,-0.3332443797227578,-0.04626138234794919
历史阶段,盈利下行熊市,红利,107,-0.20401354360495094,-0.21303820988340205,0.009884591596645141,0.02374020205508165,0.29127562649608146,0.5046728971962616,-0.36702510241553243,-0.053136793618831946
历史阶段,盈利下行熊市,低波,107,-0.18114109022999103,-0.21303820988340205,0.03460112301177716,0.08519146854300752,0.6953711206910337,0.5420560747663551,-0.33472537757063625,-0.06535783229830172
历史阶段,盈利下行熊市,质量,107,-0.2547979264412147,-0.21303820988340205,-0.045089958259575395,-0.10612933163050053,-0.3791879928012862,0.5700934579439252,-0.4399938945707508,-0.1797687170068727
历史阶段,盈利下行熊市,规模,107,-0.2746921319920198,-0.21303820988340205,-0.07067269547902774,-0.15453939961294516,-0.6201965894537342,0.48598130841121495,-0.46096372139527475,-0.18945019465108182
历史阶段,盈利下行熊市,动量,107,-0.2247829231839532,-0.21303820988340205,-0.012360421668021865,-0.030466944906071047,-0.1856291271852365,0.5233644859813084,-0.37310688728426633,-0.10764509322056703
历史阶段,股改后全面牛市,价值,132,1.1463006125946826,1.1009219465491262,0.022907332054904174,0.0557437685044706,0.32784909456808475,0.49242424242424243,-0.18571551520545515,-0.10167449680092033
历史阶段,股改后全面牛市,成长,132,1.1368032321323738,1.1009219465491262,0.016457565409059835,0.04392525689267113,0.22930427362641026,0.5303030303030303,-0.19483357777938293,-0.09852823333368665
历史阶段,股改后全面牛市,红利,132,1.1055220375003958,1.1009219465491262,0.012329461295572405,0.005567474434196917,0.11662383632396131,0.4621212121212121,-0.23069881644044488,-0.12584445350448759
历史阶段,股改后全面牛市,低波,132,1.0475578442284421,1.1009219465491262,-0.023671811496047936,-0.06322369885484469,-0.30581596087006746,0.4015151515151515,-0.17412619937641027,-0.15774251137937245
历史阶段,股改后全面牛市,质量,132,1.1928413322157585,1.1009219465491262,0.0665773885964021,0.11482964094367065,0.3815822496198888,0.5757575757575758,-0.21507415726370527,-0.2905278297307563
历史阶段,股改后全面牛市,规模,132,1.1880761375602162,1.1009219465491262,0.06364049566024318,0.10869023647928233,0.3610150624955277,0.5606060606060606,-0.20258964099463028,-0.31673731376624736
历史阶段,股改后全面牛市,动量,132,1.1807182038639752,1.1009219465491262,0.04268937597435976,0.09925071290676057,0.623335700326905,0.5454545454545454,-0.2176142902810373,-0.06927627071866271
历史阶段,贸易摩擦熊市,价值,49,-0.29787649619287815,-0.33314565136691876,0.05173339961608412,0.04976291016534207,0.6785656848832669,0.5510204081632653,-0.2645965566145746,-0.06983465397673971
历史阶段,贸易摩擦熊市,成长,49,-0.3433554317713273,-0.33314565136691876,-0.011908754567421465,-0.014433476676854795,-0.24361896784062,0.4489795918367347,-0.305917940303412,-0.04360738080668958
历史阶段,贸易摩擦熊市,红利,49,-0.2770561240725796,-0.33314565136691876,0.07709189340959002,0.07907124311217806,1.6110229284129456,0.4897959183673469,-0.26461196942937526,-0.019868893549396804
历史阶段,贸易摩擦熊市,低波,49,-0.30840661816603754,-0.33314565136691876,0.0317819506107694,0.034920900972810864,0.44610915397582734,0.4897959183673469,-0.2736397097503105,-0.04096027374030453
历史阶段,贸易摩擦熊市,质量,49,-0.3433209800677641,-0.33314565136691876,-0.00365980746884989,-0.014384750945310554,-0.022282840531160426,0.42857142857142855,-0.3467077271129049,-0.16435902093805332
历史阶段,贸易摩擦熊市,规模,49,-0.3644524711272744,-0.33314565136691876,-0.03892291497416668,-0.044299457355588934,-0.26872925709993384,0.46938775510204084,-0.3382731994968493,-0.16065794295497182
历史阶段,贸易摩擦熊市,动量,49,-0.3475688915307863,-0.33314565136691876,-0.015017653195990839,-0.02039377140180154,-0.16404048338244484,0.46938775510204084,-0.31757846706918014,-0.07013980472477466
历史阶段,金融危机熊市,价值,42,-0.7641440248984435,-0.7746938494602924,0.05278804470853673,0.03765251744247555,0.6599675169809417,0.6190476190476191,-0.6426284727954829,-0.04300361329105762
历史阶段,金融危机熊市,成长,42,-0.7995278338014407,-0.7746938494602924,-0.10808529383195084,-0.09001405903459847,-1.6187598459437889,0.35714285714285715,-0.6873387243850669,-0.0957766182082267
历史阶段,金融危机熊市,红利,42,-0.7823560999482875,-0.7746938494602924,-0.017261129769747363,-0.027559197959269977,-0.11922111036016879,0.5714285714285714,-0.6827339290256995,-0.11192251886395899
历史阶段,金融危机熊市,低波,42,-0.7186258366991118,-0.7746938494602924,0.19457397030506757,0.19660642079815882,2.969443674846637,0.6904761904761905,-0.6032776564458573,-0.027448248772691364
历史阶段,金融危机熊市,质量,42,-0.7755132421016803,-0.7746938494602924,0.04341333100180619,-0.0029384413127011566,0.18404881536647308,0.5714285714285714,-0.6876435094324969,-0.15018253117622005
历史阶段,金融危机熊市,规模,42,-0.7892939140344587,-0.7746938494602924,-0.014134942202609739,-0.05267410093252223,-0.059230308540849666,0.5714285714285714,-0.701222202227885,-0.18166720398804903
历史阶段,金融危机熊市,动量,42,-0.7766938146192834,-0.7746938494602924,-0.007117898349273424,-0.007175747777272368,-0.08901930981103559,0.47619047619047616,-0.6787013483398856,-0.11152473247384487
波动环境,中波动,价值,426,0.0721274377150507,0.13490476906498583,-0.05790315757503965,-0.37260158902103424,-0.7528747377861454,0.44835680751173707,-0.41004572300311226,-0.3788141031803134
波动环境,中波动,成长,426,0.16452854914121162,0.13490476906498583,0.028980078892211478,0.23503087089724772,0.5463863773253748,0.5211267605633803,-0.37279203662333604,-0.10724418048705686
波动环境,中波动,红利,426,0.10283133012900114,0.13490476906498583,-0.027981315618963647,-0.20931572474966087,-0.31670376732945066,0.45305164319248825,-0.396123478666197,-0.35212209691227137
波动环境,中波动,低波,426,0.09856015691858167,0.13490476906498583,-0.037143522009584325,-0.23405602900352473,-0.6036219090856654,0.4671361502347418,-0.3370056256002979,-0.24389396252478956
波动环境,中波动,质量,426,0.2259477871554365,0.13490476906498583,0.08505776140975353,0.8816773025911437,0.5749211608981256,0.5657276995305164,-0.35686536184583206,-0.27003780550151
波动环境,中波动,规模,426,0.20684657105208815,0.13490476906498583,0.06894369490466745,0.6545287521684642,0.5420285904285408,0.5446009389671361,-0.34381959452930044,-0.30000921517778223
波动环境,中波动,动量,426,0.16874477481836347,0.13490476906498583,0.03239389152268309,0.2721431579621534,0.4403537572044245,0.5492957746478874,-0.2960487027314871,-0.19679246511913207
波动环境,低波动,价值,321,0.11653029845350704,0.05804338978001766,0.05455726598169787,0.39394776902488493,0.5966438692854288,0.4984423676012461,-0.32547285689349836,-0.12571939451310066
